"Czas","IP","Akcja","Typ","Kraj","Miasto","ISP","Liczba_prob","Jail"
"2026-07-07 06:31","31.76.78.140","banned","Brute force SSH","The Netherlands","Amsterdam","Play2go International Limited","5","sshd"
"2026-07-07 06:31","35.211.34.188","banned","Brute force SSH","United States","North Charleston","Google Ireland Limited","5","sshd"
"2026-07-07 06:31","36.33.167.165","banned","Brute force SSH","China","Hefei","China Unicom Anhui Province Network","5","sshd"
"2026-07-07 06:31","36.66.16.233","banned","Brute force SSH","Indonesia","South Tangerang","PT. Telekomunikasi Indonesia","5","sshd"
"2026-07-07 06:31","41.90.100.147","banned","Brute force SSH","Kenya","Nairobi","Safaricom Limited","5","sshd"
"2026-07-07 06:31","42.123.123.238","banned","Brute force SSH","China","Beijing","Cloud Computing Corporation","5","sshd"
"2026-07-07 06:31","45.156.87.93","banned","Brute force SSH","The Netherlands","Eygelshoven","Pfcloud UG (haftungsbeschrankt)","5","sshd"
"2026-07-07 06:31","45.194.3.128","banned","Brute force SSH","India","Noida","CtrlS","5","sshd"
"2026-07-07 06:31","46.101.107.202","banned","Brute force SSH","Germany","Frankfurt am Main","DigitalOcean, LLC","5","sshd"
"2026-07-07 06:31","51.178.114.78","banned","Brute force SSH","France","Gravelines","OVH SAS","5","sshd"
"2026-07-07 06:31","52.176.211.73","banned","Brute force SSH","United States","Des Moines","Microsoft Corporation","5","sshd"
"2026-07-07 06:31","60.250.246.239","banned","Brute force SSH","Taiwan","Guishan","Chunghwa Telecom Co., Ltd.","5","sshd"
"2026-07-07 06:31","61.223.95.198","banned","Brute force SSH","Taiwan","Chang-hua","Chunghwa Telecom Co., Ltd.","5","sshd"
"2026-07-07 06:31","61.84.211.107","banned","Brute force SSH","South Korea","Anseong","Korea Telecom","5","sshd"
"2026-07-07 06:31","64.226.126.224","banned","Brute force SSH","nieznana","","","5","sshd"
"2026-07-07 06:31","85.95.166.40","banned","Brute force SSH","nieznana","","","5","sshd"
"2026-07-07 06:31","88.198.188.142","banned","Brute force SSH","nieznana","","","5","sshd"
"2026-07-07 06:31","92.118.39.50","banned","Brute force SSH","nieznana","","","5","sshd"
"2026-07-07 06:31","92.118.39.71","banned","Brute force SSH","nieznana","","","5","sshd"
"2026-07-07 06:31","92.118.39.77","banned","Brute force SSH","nieznana","","","5","sshd"
"","203.154.158.195","unbanned","","","","","","sshd"
"","88.198.188.142","unbanned","","","","","","sshd"
"","31.76.78.140","unbanned","","","","","","sshd"
"","51.178.114.78","unbanned","","","","","","sshd"
"","102.54.246.130","unbanned","","","","","","sshd"
"","185.249.74.198","unbanned","","","","","","sshd"
"","182.18.161.165","unbanned","","","","","","sshd"
"","46.101.107.202","unbanned","","","","","","sshd"
"","45.156.87.93","unbanned","","","","","","sshd"
"","207.154.250.9","unbanned","","","","","","sshd"
"","135.235.138.43","unbanned","","","","","","sshd"
"","217.154.42.110","unbanned","","","","","","sshd"
"","41.90.100.147","unbanned","","","","","","sshd"
"","157.10.182.14","unbanned","","","","","","sshd"
"","42.123.123.238","unbanned","","","","","","sshd"
"","92.118.39.71","unbanned","","","","","","sshd"
"","36.33.167.165","unbanned","","","","","","sshd"
"","45.194.3.128","unbanned","","","","","","sshd"
"","61.223.95.198","unbanned","","","","","","sshd"
"","190.115.84.25","unbanned","","","","","","sshd"
"","172.188.89.41","unbanned","","","","","","sshd"
"","103.163.117.83","unbanned","","","","","","sshd"
"","85.95.166.40","unbanned","","","","","","sshd"
"","179.176.210.17","unbanned","","","","","","sshd"
"2026-07-07 11:17","189.147.254.64","banned","Brute force SSH","Mexico","Benito Juarez","UNINET","5","sshd"
